UKPRN,Univ,T1 - Communication and Interaction,T2 - Philosophy of Education,T3 - Methodological Depth,T4 - Citizenship and Culture,T5 - Developmental Psychology,T6 - Health and Medicine,T7 - Mathematics,T8 - Gender,T9 - Regional issues and international development,T10 - Psychiatry and Psychopathology,T11 - Non-English Components,T12 - Language and Linguistics,T13 - Technology Enhanced Learning,T14 - Critical and Social Theory,"T15 - History, Religion and Race",T16 - Early Childhood and Families,T17 - Leadership and Management,T18 - New Materialism,T19 - Clinical Psychology and Developmental Disorders,T20 - Claims of Significance,T21 - Sports and Health,T22 - Analysing large-scale data,T23 - Schooling Systems,T24 - Affective Factors,T25 - Children's Social Care,T26 - Education Policy,T27 - Higher Education,T28 - Training and Employment,T29 - Special Educational Needs and Disabilities,T30 - Teacher Education and Professional Development,T31 - Science Education,T32 - Interviews and Focus Groups,T33 - Systematic Reviews and Meta-Analyses,T34 - Cognitive Processing,T35 - Reading,UKPRN2,4*,3*,2*,1*,outputGPA,UKPRN3
10007802,University of Reading,0.0235629260,0.0211523458,0.0697106200,0.0027491651,0.0246410258,0.0007663728,0.0046883325,0.0020677441,0.0232624869,0.0046845039,0.0040915373,0.1028342476,0.0028766649,0.0340339509,0.0143456847,0.0168504394,0.0119060277,0.0138132901,0.0107778081,0.0065345579,0.0026923053,0.0424979292,0.0606240921,0.0094228359,0.0066645901,0.0208299169,0.0214172236,0.0146344140,0.0098714044,0.0412399260,0.0012994675,0.0926059958,0.0015722207,0.0917690548,0.1875088922,10007802,24.6,55.7,18.1,1.6,3.033,10007802
10007167,University of York,0.0338688052,0.0236987515,0.0763424591,0.0100212605,0.0144049310,0.0122961550,0.0178916102,0.0066839904,0.0255914323,0.0275958041,0.0041574019,0.0691291362,0.0129477117,0.0137027278,0.0083277713,0.0127440270,0.0079683873,0.0063362135,0.0032215353,0.0089850695,0.0018366216,0.0523648781,0.0726447512,0.0359723286,0.0151125039,0.0234741942,0.0290061785,0.0130553371,0.0031550696,0.0799049468,0.0364531380,0.0613444484,0.0355550773,0.0606099962,0.0835953497,10007167,27.6,43.7,21.8,4.6,2.897,10007167
10007143,University of Durham,0.0163564631,0.0490664538,0.1503673080,0.0041170094,0.0437716534,0.0264791933,0.0473825346,0.0053274953,0.0045848062,0.0238472622,0.0015246514,0.0051681262,0.0204787620,0.0199227742,0.0041037070,0.0116715829,0.0086703668,0.0198621355,0.0094234643,0.0120654096,0.0019479768,0.0949746321,0.0765003221,0.0431149943,0.0071004212,0.0152321836,0.0222655487,0.0105150452,0.0012200903,0.0469013468,0.0291002987,0.0694320217,0.0252359449,0.0523368165,0.0199311981,10007143,26,44.8,27.1,2.1,2.947,10007143
10004797,Nottingham Trent University,0.0315365217,0.0618870570,0.1033379707,0.0019738929,0.0360243128,0.0017180484,0.0127715487,0.0058253427,0.0018956834,0.0028342532,0.0273293723,0.0137821191,0.0583029976,0.0154522245,0.0026898395,0.0089550311,0.0179916458,0.0226634571,0.0121578862,0.0142815084,0.0070357542,0.0186628877,0.0456316774,0.0199937572,0.0030999330,0.0272783934,0.0513386668,0.0122512535,0.0086144138,0.0701997356,0.0248310101,0.0928193133,0.0017414087,0.0472115141,0.1158795680,10004797,9.9,22.5,39.4,18.3,2.042,10004797
10007149,University of Hull,0.0134480184,0.0901483405,0.1024248808,0.0040167445,0.0103443489,0.0024689862,0.0270206196,0.0017565293,0.0113301380,0.0044472779,0.0010563111,0.0144678737,0.0525542496,0.0456273331,0.0385139305,0.0050471089,0.0522133902,0.0121751985,0.0005721198,0.0102187268,0.0037182570,0.0171206643,0.0524159504,0.0212147821,0.0062076295,0.0964627924,0.0479654169,0.0107829685,0.0025794797,0.0631234154,0.0172195870,0.0820305251,0.0014294113,0.0398273266,0.0380496674,10007149,15.1,32.1,43.4,7.5,2.51,10007149
10007164,"University of the West of England, Bristol",0.0152260333,0.0165760200,0.0763563832,0.0093981672,0.0232508050,0.0312818183,0.0159253009,0.0101131862,0.0047103257,0.0095304358,0.0032940917,0.0134365174,0.0566100368,0.0681518041,0.0021464585,0.0135102615,0.0115651371,0.0088167201,0.0031522770,0.0077612100,0.0010175169,0.0505101451,0.0441220174,0.0230675913,0.0186356846,0.0260193042,0.1008766109,0.0532950000,0.0014707569,0.0256592173,0.0027283728,0.1310404909,0.0028763589,0.0376502336,0.0802177096,10007164,18.6,34.9,44.2,2.3,2.698,10007164
10007843,"St Mary's University, Twickenham",0.0132291320,0.0996739816,0.0403216385,0.0017593014,0.0553071559,0.0001684243,0.0063414190,0.0305695610,0.0179739513,0.0024649737,0.0034770394,0.0048436581,0.0222504449,0.0484098558,0.0724211671,0.0115700391,0.0566228918,0.0447893015,0.0025896535,0.0203007247,0.0077675315,0.0171957165,0.0595716608,0.0027254320,0.0005508817,0.0530335169,0.0102809738,0.0202367168,0.0183863990,0.1022558237,0.0141613637,0.1011414142,0.0013962347,0.0357038519,0.0005081684,10007843,10.3,13.8,20.7,41.4,1.654,10007843
10007805,University of Strathclyde,0.0241155580,0.0492679015,0.0815529595,0.0090298476,0.0262654695,0.0080731492,0.0155017013,0.0041916286,0.0070268435,0.0446841918,0.0010594584,0.0059217573,0.0147851649,0.0358412519,0.0086882190,0.0442741559,0.0145198042,0.0184012308,0.0492261923,0.0098846143,0.0079513379,0.0227510879,0.0410548999,0.0278062404,0.0238564229,0.0340451466,0.0113722505,0.0060355526,0.0248673743,0.1019339666,0.0155722110,0.1224520490,0.0264462634,0.0355665122,0.0259775856,10007805,9.8,47.8,34.8,7.6,2.598,10007805
10004113,Loughborough University,0.0169777507,0.0338943509,0.1075200897,0.0000532129,0.1297457762,0.0015412218,0.1894058073,0.0107710705,0.0016729698,0.0027890242,0.0005154557,0.0015713759,0.0176984412,0.0515531354,0.0026403177,0.0038535471,0.0079955098,0.0068328231,0.0005346041,0.0072384148,0.0008387765,0.0241481788,0.0240343207,0.0250205867,0.0040034502,0.0113970422,0.0566031716,0.0032954123,0.0019743604,0.0761318797,0.0036565265,0.1280427426,0.0011919992,0.0347257282,0.0101309256,10004113,22.9,54.2,22.9,0,3,10004113
10007774,University of Oxford,0.0105840457,0.0375757804,0.0886532138,0.0042932748,0.0187039030,0.0053010977,0.0298713666,0.0034561223,0.0125339463,0.0326039605,0.0052849705,0.0341384148,0.0195903876,0.0280052283,0.0186765005,0.0456799825,0.0178205251,0.0092218904,0.0043363521,0.0133805545,0.0023517271,0.0784882095,0.0727719830,0.0419441628,0.0174120097,0.0677341982,0.0221589250,0.0365524739,0.0032737310,0.0656951981,0.0073189300,0.0654604921,0.0090390838,0.0318307356,0.0382566228,10007774,50.6,36.4,12.4,0.6,3.37,10007774
10007140,Birmingham City University,0.0403342540,0.0758728982,0.0820591427,0.0004616104,0.0629924871,0.0007662749,0.0195488895,0.0185950493,0.0071001238,0.0035035919,0.0004086499,0.0154805121,0.0056252951,0.0654947630,0.0105600375,0.0552114761,0.0286810814,0.0311354117,0.0006150234,0.0026900781,0.0036387442,0.0088365940,0.0474984227,0.0069393730,0.0028574299,0.0552269529,0.0530094864,0.0121675393,0.0092779068,0.0642517975,0.0051569199,0.1084034905,0.0010397213,0.0312870266,0.0632719448,10007140,16.7,40,33.3,10,2.634,10007140
