Institution code (UKPRN),Institution name,Institution sort order,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Profile,FTE of submitted staff,Total FTE of submitted staff for joint submission,% of eligible staff submitted,4*,3*,2*,1*,Unclassified,OutputsGPA,UKPRN,T1 - Communication and Interaction,T2 - Philosophy of Education,T3 - Methodological Depth,T4 - Citizenship and Culture,T5 - Developmental Psychology,T6 - Health and Medicine,T7 - Mathematics,T8 - Gender,T9 - Regional issues and international development,T10 - Psychiatry and Psychopathology,T11 - Non-English Components,T12 - Language and Linguistics,T13 - Technology Enhanced Learning,T14 - Critical and Theory,"T15 - History, Religion and Race",T16 - Early Childhood and Families,T17 - Leadership and Management,T18 - New Materialism,T19 - Clinical Psychology and Developmental Disorders,T20 - Claims of Significance,T21 - Sports and Health,T22 - Analysing large-scale data,T23 - Schooling Systems,T24 - Affective Factors,T25 - Children's Social Care,T26 - Education Policy,T27 - Higher Education,T28 - Training and Employment,T29 - Special Educational Needs and Disabilities,T30 - Teacher Education and Professional Development,T31 - Science Education,T32 - Interviews and Focus Groups,T33 - Systematic Reviews and Meta-Analyses,T34 - Cognitive Processing,T35 - Reading,Log2(T1)_Log2(T3),Log2(T2)_Log2(T3),Log2(T4)_Log2(T3),Log2(T5)_Log2(T3),Log2(T6)_Log2(T3),Log2(T7)_Log2(T3),Log2(T8)_Log2(T3),Log2(T9)_Log2(T3),Log2(T10)_Log2(T3),Log2(T11)_Log2(T3),Log2(T12)_Log2(T3),Log2(T13)_Log2(T3),Log2(T14)_Log2(T3),Log2(T15)_Log2(T3),Log2(T16)_Log2(T3),Log2(T17)_Log2(T3),Log2(T18)_Log2(T3),Log2(T19)_Log2(T3),Log2(T20)_Log2(T3),Log2(T21)_Log2(T3),Log2(T22)_Log2(T3),Log2(T23)_Log2(T3),Log2(T24)_Log2(T3),Log2(T25)_Log2(T3),Log2(T26)_Log2(T3),Log2(T27)_Log2(T3),Log2(T28)_Log2(T3),Log2(T29)_Log2(T3),Log2(T30)_Log2(T3),Log2(T31)_Log2(T3),Log2(T32)_Log2(T3),Log2(T33)_Log2(T3),Log2(T34)_Log2(T3),Log2(T35)_Log2(T3)
10000291,Anglia Ruskin University Higher Education Corporation,5,C,23,Education,,,,Outputs,7.5,,25,15.8,42.1,42.1,0,0,2.737,10000291,0.004638383,0.029728005,0.07412803,0.000277646,0.000108139,0.004948113,0.000031141,0.116239464,0.004261759,0.008487786,0.000108125,0.000115704,0.079957707,0.050091529,0.003613718,0.016523316,0.038248337,0.022785017,0.014936148,0.016862183,0.019009241,0.00766342,0.038696893,0.006190774,0.030120494,0.026209611,0.07345765,0.004728296,0.013497262,0.097523089,0.001686913,0.177479324,0.013529562,0.001410925,0.002706301,-3.998325455,-1.318196538,-8.060628997,-9.420989095,-3.905068916,-11.21698616,0.649008882,-4.120498216,-3.126558977,-9.421179482,-9.323442171,0.109217939,-0.565452517,-4.358463329,-2.165515903,-0.95462215,-1.701933723,-2.311211018,-2.136227836,-1.963318274,-3.273958846,-0.937801444,-3.581827519,-1.299273718,-1.499923219,-0.013106416,-3.970626999,-2.457352398,0.395724655,-5.457561867,1.259559893,-2.453904062,-5.715306516,-4.77562481
10000571,Bath Spa University,11,C,23,Education,,,,Outputs,26.6,,30,22.7,24.3,36.3,16.7,0,2.53,10000571,0.01059016,0.079894926,0.108443038,0.017123349,0.00119043,0.007490049,0.005622112,0.008258598,0.015454555,0.001545273,0.003221656,0.005579391,0.007131478,0.083999036,0.023742539,0.022407638,0.031781606,0.034675331,0.001838441,0.019824642,0.00838353,0.003215921,0.064161762,0.009303479,0.015533522,0.073504892,0.022667871,0.033363608,0.026090895,0.126514894,0.009758226,0.107790856,0.001047064,0.00823184,0.000617393,-3.356141082,-0.44076165,-2.662900629,-6.509310569,-3.855818506,-4.26968157,-3.714896658,-2.810833459,-6.132931775,-5.072991227,-4.28068606,-3.926592561,-0.368492756,-2.191391284,-2.274874924,-1.770673519,-1.64495586,-5.882310621,-2.451570722,-3.693235856,-5.075561745,-0.757151776,-3.543023257,-2.803480548,-0.561025267,-2.258216646,-1.70059021,-2.055319088,0.222369805,-3.474174797,-0.008702631,-6.69444446,-3.719578605,-7.456531817
10000886,University of Brighton,20,C,23,Education,,,,Outputs,13.5,,15,29.4,47.1,20.6,2.9,0,3.03,10000886,0.007923229,0.045136685,0.09187971,0.024106472,0.001794571,0.001214128,0.038813397,0.002433714,0.010365863,0.00099808,0.005191753,5.02492E-05,0.021843281,0.067818204,0.029233695,0.07334642,0.016506461,0.009793887,1.44691E-05,0.022233518,0.002014686,0.031600601,0.094546136,0.00932827,0.010602448,0.068115162,0.039247668,0.01514056,0.002035804,0.123819313,0.001769317,0.123486379,0.004511821,0.0003645,0.002719548,-3.535585842,-1.025445841,-1.930325798,-5.678035239,-6.2417537,-1.243191605,-5.238514999,-3.147906039,-6.524447067,-4.14545254,-10.83642926,-2.072556742,-0.438073739,-1.652114126,-0.325019751,-2.476715451,-3.229792925,-12.63255896,-2.047010047,-5.511119724,-1.539794327,0.041272188,-3.300064894,-3.115348876,-0.431770336,-1.22713936,-2.601327703,-5.496075457,0.430418151,-5.698482119,0.426533699,-4.347964616,-7.977682782,-5.078307566
10000961,Brunel University London,22,C,23,Education,,,,Outputs,18.2,,100,17.4,47.8,28.3,6.5,0,2.761,10000961,0.047028695,0.145381589,0.068639117,0.001415958,0.001118859,0.005357005,0.016107788,0.034519344,0.004627712,0.000465582,0.007502213,0.020963473,0.009309087,0.067577679,0.018397887,0.022427573,0.015015865,0.02982303,0.011738447,0.013175045,0.004893905,0.004867824,0.035305097,0.001154062,0.008335769,0.096548087,0.050289988,0.010029521,0.0013425,0.099898016,0.0135246,0.118846082,0.001221256,0.002727642,0.010423705,-0.545489689,1.082741687,-5.599180951,-5.938930681,-3.67953253,-2.091272647,-0.991625937,-3.890659923,-7.203851894,-3.193642891,-1.711153226,-2.882319363,-0.022484193,-1.899490902,-1.613757511,-2.192543454,-1.202604139,-2.547789406,-2.381223079,-3.809973088,-3.81768211,-0.9591545,-5.894237934,-3.041643868,0.492216685,-0.448759782,-2.774778268,-5.676037518,0.541425031,-2.34344507,0.791991444,-5.812593449,-4.653304793,-2.719162888
10000975,Buckinghamshire New University,24,C,23,Education,,,,Outputs,8.5,,35,4.8,23.8,9.5,57.1,4.8,1.667,10000975,0.007541153,0.108886608,0.088044937,2.78931E-05,0.00028427,0.042545186,0.000333077,0.004319043,0.010271004,0.069654479,9.07876E-05,0.000489996,0.01669539,0.019106619,0.002016923,0.000854304,0.046551687,0.129276846,0.002293093,0.013063273,0.017760329,0.003834941,0.004325776,0.067340053,0.005025856,0.003728618,0.08296664,0.005144334,0.001071814,0.074950947,0.002268704,0.155629701,0.002688311,0.010681094,0.000236315,-3.545383088,0.306514568,-11.62411685,-8.274836972,-1.049244137,-8.04624185,-4.349456433,-3.099662816,-0.338023934,-9.921529828,-7.489327745,-2.398790231,-2.20416752,-5.448012145,-6.687346344,-0.919406596,0.554151945,-5.262873577,-2.752723664,-2.309581778,-4.520963774,-4.347209132,-0.386775187,-4.13079893,-4.561527231,-0.085708682,-4.09718379,-6.360113399,-0.232293336,-5.278299752,0.821805459,-5.033468327,-3.043180583,-8.541383482
10001143,Canterbury Christ Church University,26,C,23,Education,,,,Outputs,19.8,,15,28.9,31.1,31.1,8.9,0,2.8,10001143,0.01623379,0.073737773,0.043484373,0.060895271,0.002034287,0.001544816,0.004246679,0.023826538,0.015589732,0.006012201,0.00197564,0.014581203,0.005347482,0.089287375,0.061295978,0.020121496,0.024381591,0.023422258,0.001664849,0.020878958,0.013857733,0.015118848,0.060514192,0.01504984,0.048131009,0.042215041,0.03580113,0.012987052,0.009195739,0.062773567,0.030446154,0.138075527,0.002856701,0.001686654,0.000728527,-1.4214972,0.761906824,0.485833177,-4.417901601,-4.814990219,-3.356090064,-0.867927711,-1.479900929,-2.854531878,-4.460104917,-1.576387311,-3.023565487,1.03795918,0.495295396,-1.111759478,-0.834704766,-0.892616836,-4.707033805,-1.05844728,-1.649805798,-1.524148768,0.476776496,-1.530748876,0.146469637,-0.042739917,-0.280491919,-1.743423069,-2.24145961,0.529660158,-0.514237037,1.666888711,-3.928075321,-4.688261486,-5.899370612
10002718,Goldsmiths' College,54,C,23,Education,,,,Outputs,18.8,,100,38.3,29.8,25.5,4.3,2.1,2.979,10002718,0.025499928,0.084476394,0.020884516,0.016794888,0.001452732,0.003409819,0.000120469,0.076230537,0.002278606,0.000576894,0.003798578,0.012145318,0.007741838,0.082940117,0.091112571,0.028905241,0.01773824,0.071200146,0.002049061,0.01671556,0.007154683,0.006367461,0.066075305,0.000295358,0.019537839,0.119810744,0.031228898,0.014968422,0.000634336,0.031328608,0.000154238,0.13587878,6.22201E-05,0.000196245,0.000235416,0.288059479,2.016114544,-0.314411575,-3.845593705,-2.614666659,-7.437633134,1.867935324,-3.196210304,-5.177982587,-2.458902357,-0.782033467,-1.43168578,1.989636379,2.125216416,0.468897364,-0.235570863,1.769446485,-3.349398956,-0.321242054,-1.545474046,-1.71364368,1.66167746,-6.143827305,-0.096162837,2.520251667,0.580447959,-0.480511605,-5.041043765,0.585046971,-7.081130734,2.701814553,-8.390837712,-6.733636555,-6.471079636
10003614,University of Winchester,154,C,23,Education,,,,Outputs,21.5,,100,25.9,29.7,35.1,7.4,1.9,2.703,10003614,0.006248033,0.319377468,0.04136325,0.01380679,0.001749778,0.000962191,0.003580465,0.030556024,0.009616359,0.003806875,0.001809421,0.000677303,0.009558465,0.056704902,0.078120072,0.035888814,0.008493317,0.099553123,0.000458054,0.016370474,0.005617099,0.005730952,0.006973702,0.016920262,0.009567534,0.026945618,0.032569669,0.014383171,0.006337716,0.033722448,0.014843631,0.083049029,0.000514913,0.00334813,0.000774948,-2.72687558,2.948841091,-1.582971623,-4.563106039,-5.425882489,-3.530130526,-0.436892703,-2.104786891,-3.441670577,-4.514749608,-5.932403606,-2.113498646,0.455123911,0.917343737,-0.204815282,-2.283949591,1.267117032,-6.496687908,-1.337253411,-2.880452297,-2.851502956,-2.568352955,-1.289597603,-2.11213055,-0.61829885,-0.344820487,-1.523967742,-2.706314627,-0.294640255,-1.47850549,1.005613761,-6.327878178,-3.626922089,-5.738106747
10003645,King's College London,69,C,23,Education,,,,Outputs,42.5,,100,48.2,35.3,14.1,2.4,0,3.293,10003645,0.035069964,0.086875757,0.086877644,0.004885511,0.022951478,0.020156167,0.015971972,0.04690981,0.018706998,0.003490884,0.004959562,0.061180373,0.008418834,0.068359274,0.005816492,0.006713472,0.010978298,0.023203753,0.001496501,0.01291901,0.002574859,0.026038121,0.042672259,0.022130214,0.033566149,0.055691386,0.01019264,0.038144999,0.001898574,0.041026428,0.072625409,0.084640697,0.002407136,0.018126293,0.002323084,-1.308749023,-3.13467E-05,-4.152403555,-1.920397955,-2.107763694,-2.443442524,-0.889095332,-2.215406911,-4.637320577,-4.130700388,-0.505916082,-3.367292572,-0.345847911,-3.900763678,-3.693854067,-2.984330554,-1.90462683,-5.859320341,-2.749489497,-5.07641995,-1.73835965,-1.025686496,-1.97296761,-1.371977957,-0.64153078,-3.091457194,-1.18749105,-5.5159967,-1.082431431,-0.258510595,-0.037633471,-5.173595624,-2.26090108,-5.224872029
10003678,Kingston University,70,C,23,Education,,,,Outputs,16.2,,35,22,31.7,34.1,9.8,2.4,2.611,10003678,0.003573388,0.011750075,0.113662121,0.000155598,0.023219967,0.141428997,0.01752852,0.002851819,0.002316753,0.003441854,0.000659631,0.022559039,0.022233043,0.032237422,0.016314917,0.012083706,0.031424846,0.005257059,0.001647662,0.008786363,0.012254974,0.038470285,0.015614773,0.004626241,0.053808341,0.040244866,0.083075102,0.017466404,0.014190159,0.047468212,0.03389958,0.136350334,0.008148582,0.018493726,0.002755646,-4.991315155,-3.27400972,-9.512710668,-2.291313725,0.315326407,-2.696975482,-5.316725215,-5.616503673,-5.04542188,-7.428875802,-2.332974027,-2.353974208,-1.817943257,-2.800487974,-3.233616663,-1.854773956,-4.434351906,-6.1081874,-3.693341581,-3.213312191,-1.562935132,-2.863768073,-4.618767423,-1.078849798,-1.497874891,-0.45226348,-2.702097056,-3.0017889,-1.259717932,-1.745412232,0.262566697,-3.802058709,-2.619643709,-5.366217194
