Year,SIMD,2016/17,2017/18,2018/19
P1 (Early Level),SIMD Quintile 1 - Most Deprived,78,79,79
P1 (Early Level),SIMD Quintile 2,81,82,82
P1 (Early Level),SIMD Quintile 3,84,86,85
P1 (Early Level),SIMD Quintile 4,87,88,88
P1 (Early Level),SIMD Quintile 5 - Least Deprived,92,92,92
P1 (Early Level),Unknown2,65,66,69
P1 (Early Level),Total,83,85,85
P1 (Early Level),Percentage point gap (least-most),13.6,13.3,13.0
P4 (First Level),SIMD Quintile 1 - Most Deprived,67,68,69
P4 (First Level),SIMD Quintile 2,71,72,74
P4 (First Level),SIMD Quintile 3,75,76,77
P4 (First Level),SIMD Quintile 4,80,80,80
P4 (First Level),SIMD Quintile 5 - Least Deprived,85,86,87
P4 (First Level),Unknown2,62,60,63
P4 (First Level),Total,75,76,77
P4 (First Level),Percentage point gap (least-most),18.2,18.0,18.3
P7 (Second Level),SIMD Quintile 1 - Most Deprived,62,66,67
P7 (Second Level),SIMD Quintile 2,65,70,72
P7 (Second Level),SIMD Quintile 3,71,75,76
P7 (Second Level),SIMD Quintile 4,75,79,80
P7 (Second Level),SIMD Quintile 5 - Least Deprived,82,86,87
P7 (Second Level),Unknown2,56,65,67
P7 (Second Level),Total,70,75,76
P7 (Second Level),Percentage point gap (least-most),20.7,19.7,19.3
S3 (Third Level),SIMD Quintile 1 - Most Deprived,81,82,83
S3 (Third Level),SIMD Quintile 2,85,86,88
S3 (Third Level),SIMD Quintile 3,90,90,91
S3 (Third Level),SIMD Quintile 4,92,93,93
S3 (Third Level),SIMD Quintile 5 - Least Deprived,95,96,96
S3 (Third Level),Unknown2,76,82,82
S3 (Third Level),Total,88,89,90
S3 (Third Level),Percentage point gap (least-most),14.8,14.0,13.5
S3 (Fourth Level),SIMD Quintile 1 - Most Deprived,39,39,40
S3 (Fourth Level),SIMD Quintile 2,47,48,52
S3 (Fourth Level),SIMD Quintile 3,59,57,59
S3 (Fourth Level),SIMD Quintile 4,65,64,67
S3 (Fourth Level),SIMD Quintile 5 - Least Deprived,74,75,78
S3 (Fourth Level),Unknown2,36,44,39
S3 (Fourth Level),Total,56,56,59
S3 (Fourth Level),Percentage point gap (least-most),34.7,36.5,37.7
